"Title","System time"
"Value","Series Label","Build Number","Build Date","URL"
"1.336798","User time","100","1645781942254",""
"0.024620","System time","100","1645781942254",""
"1.346354","User time","101","1645782062252",""
"0.011861","System time","101","1645782062252",""
"14.319920","User time","102","1645782182250",""
"0.040233","System time","102","1645782182250",""
"1.350333","User time","103","1645782302308",""
"0.008192","System time","103","1645782302308",""
"8.682004","User time","104","1645782422251",""
"0.022824","System time","104","1645782422251",""
"14.309864","User time","105","1645782542249",""
"0.055803","System time","105","1645782542249",""
"14.333418","User time","106","1645782662250",""
"0.031806","System time","106","1645782662250",""
"9.215346","User time","107","1645782782249",""
"0.042970","System time","107","1645782782249",""
"1.353330","User time","108","1645782902250",""
"0.008069","System time","108","1645782902250",""
"14.335049","User time","109","1645783022256",""
"0.028128","System time","109","1645783022256",""
